,臺灣銀行,臺灣土地銀行,合作金庫銀行,第一商業銀行,華南商業銀行,彰化商業銀行,上海商業儲蓄銀行,台北富邦商業銀行,國泰世華商業銀行,中國輸出入銀行,高雄銀行,兆豐國際商業銀行,花旗(台灣)商業銀行,王道商業銀行,臺灣中小企業銀行,渣打國際商業銀行,台中商業銀行,京城商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行,華泰商業銀行,臺灣新光商業銀行,陽信商業銀行,板信商業銀行,三信商業銀行,聯邦商業銀行,遠東國際商業銀行,元大商業銀行,永豐商業銀行,玉山商業銀行,凱基商業銀行,星展(台灣)商業銀行,台新國際商業銀行,日盛國際商業銀行,安泰商業銀行,中國信託商業銀行,將來商業銀行,連線商業銀行,樂天國際商業銀行,中央信託局,中國農民銀行,交通銀行,澳盛(台灣)商業銀行,中華開發工業銀行,第七商業銀行,中華商業銀行,大眾商業銀行,慶豐商業銀行,臺北國際商業銀行,高雄區中小企業銀行,花蓮區中小企業銀行,臺東區中小企業銀行,臺灣銀行-排名,臺灣銀行-市佔率,臺灣土地銀行-排名,臺灣土地銀行-市佔率,合作金庫銀行-排名,合作金庫銀行-市佔率,第一商業銀行-排名,第一商業銀行-市佔率,華南商業銀行-排名,華南商業銀行-市佔率,彰化商業銀行-排名,彰化商業銀行-市佔率,上海商業儲蓄銀行-排名,上海商業儲蓄銀行-市佔率,台北富邦商業銀行-排名,台北富邦商業銀行-市佔率,國泰世華商業銀行-排名,國泰世華商業銀行-市佔率,中國輸出入銀行-排名,中國輸出入銀行-市佔率,高雄銀行-排名,高雄銀行-市佔率,兆豐國際商業銀行-排名,兆豐國際商業銀行-市佔率,花旗(台灣)商業銀行-排名,花旗(台灣)商業銀行-市佔率,王道商業銀行-排名,王道商業銀行-市佔率,臺灣中小企業銀行-排名,臺灣中小企業銀行-市佔率,渣打國際商業銀行-排名,渣打國際商業銀行-市佔率,台中商業銀行-排名,台中商業銀行-市佔率,京城商業銀行-排名,京城商業銀行-市佔率,匯豐(台灣)商業銀行-排名,匯豐(台灣)商業銀行-市佔率,瑞興商業銀行-排名,瑞興商業銀行-市佔率,華泰商業銀行-排名,華泰商業銀行-市佔率,臺灣新光商業銀行-排名,臺灣新光商業銀行-市佔率,陽信商業銀行-排名,陽信商業銀行-市佔率,板信商業銀行-排名,板信商業銀行-市佔率,三信商業銀行-排名,三信商業銀行-市佔率,聯邦商業銀行-排名,聯邦商業銀行-市佔率,遠東國際商業銀行-排名,遠東國際商業銀行-市佔率,元大商業銀行-排名,元大商業銀行-市佔率,永豐商業銀行-排名,永豐商業銀行-市佔率,玉山商業銀行-排名,玉山商業銀行-市佔率,凱基商業銀行-排名,凱基商業銀行-市佔率,星展(台灣)商業銀行-排名,星展(台灣)商業銀行-市佔率,台新國際商業銀行-排名,台新國際商業銀行-市佔率,日盛國際商業銀行-排名,日盛國際商業銀行-市佔率,安泰商業銀行-排名,安泰商業銀行-市佔率,中國信託商業銀行-排名,中國信託商業銀行-市佔率,將來商業銀行-排名,將來商業銀行-市佔率,連線商業銀行-排名,連線商業銀行-市佔率,樂天國際商業銀行-排名,樂天國際商業銀行-市佔率,中央信託局-排名,中央信託局-市佔率,中國農民銀行-排名,中國農民銀行-市佔率,交通銀行-排名,交通銀行-市佔率,澳盛(台灣)商業銀行-排名,澳盛(台灣)商業銀行-市佔率,中華開發工業銀行-排名,中華開發工業銀行-市佔率,第七商業銀行-排名,第七商業銀行-市佔率,中華商業銀行-排名,中華商業銀行-市佔率,大眾商業銀行-排名,大眾商業銀行-市佔率,慶豐商業銀行-排名,慶豐商業銀行-市佔率,臺北國際商業銀行-排名,臺北國際商業銀行-市佔率,高雄區中小企業銀行-排名,高雄區中小企業銀行-市佔率,花蓮區中小企業銀行-排名,花蓮區中小企業銀行-市佔率,臺東區中小企業銀行-排名,臺東區中小企業銀行-市佔率
2017年1月,496.0,249.0,518.0,592.0,762.0,664.0,271.0,1707.0,1926.0,5.0,39.0,608.0,942.0,71.0,416.0,350.0,128.0,99.0,618.0,7.0,33.0,302.0,121.0,61.0,29.0,261.0,241.0,387.0,408.0,1221.0,119.0,178.0,1235.0,82.0,159.0,3824.0,,,,,,,134.0,,,,,202.0,,,,,13.0,0.025464626758394084,21.0,0.012783653352500257,12.0,0.02659410617106479,11.0,0.030393264195502617,7.0,0.03912105965704898,8.0,0.034089742273334014,19.0,0.013913132765170961,3.0,0.0876373344285861,2.0,0.09888078858198994,39.0,0.0002566998665160694,34.0,0.0020022589588253414,10.0,0.03121470376835404,6.0,0.04836225485162748,32.0,0.0036451381045281856,14.0,0.021357428894136974,17.0,0.01796899065612486,27.0,0.006571516582811377,30.0,0.0050826573570181745,9.0,0.031728103501386176,38.0,0.0003593798131224972,35.0,0.0016942191190060581,18.0,0.015504671937570592,28.0,0.0062121367696888795,33.0,0.003131738371496047,36.0,0.0014888592257932026,20.0,0.013399733032138823,22.0,0.012372933566074546,16.0,0.019868569668343772,15.0,0.020946709107711264,5.0,0.06268610740322415,29.0,0.006109456823082452,24.0,0.009138515247972072,4.0,0.06340486702946914,31.0,0.0042098778108635385,25.0,0.008163055755211007,1.0,0.19632405791148988,,,,,,,,,,,,,26.0,0.00687955642263066,,,,,,,,,23.0,0.010370674607249204,,,,,,,,
2017年2月,371.0,207.0,460.0,592.0,515.0,505.0,192.0,885.0,1271.0,6.0,34.0,578.0,822.0,64.0,188.0,662.0,119.0,133.0,356.0,8.0,20.0,307.0,85.0,65.0,16.0,245.0,248.0,343.0,343.0,1053.0,123.0,119.0,987.0,69.0,120.0,2596.0,,,,,,,160.0,,,,,199.0,,,,,13.0,0.024603753564559985,20.0,0.013727700775913522,12.0,0.03050600172425227,8.0,0.03925989787121162,10.0,0.034153458452152,11.0,0.03349028450162478,22.0,0.012732939850122688,5.0,0.05869089462165926,2.0,0.08428940911201008,39.0,0.000397904370316334,34.0,0.002254791431792559,9.0,0.038331454340473504,6.0,0.054512898733337756,33.0,0.004244313283374229,23.0,0.012467670269911798,7.0,0.04390211552490218,28.5,0.007891770011273957,25.0,0.00882021354201207,14.0,0.023608992638769147,38.0,0.0005305391604217786,35.0,0.0013263479010544466,17.0,0.020359440281185755,30.0,0.005636978579481398,32.0,0.004310630678426951,36.0,0.0010610783208435573,19.0,0.01624776178791697,18.0,0.016446713973075136,15.5,0.02274686650308376,15.5,0.02274686650308376,3.0,0.06983221699051662,26.0,0.008157039591484847,28.5,0.007891770011273957,4.0,0.06545526891703694,31.0,0.004575900258637841,27.0,0.00795808740632668,1.0,0.17215995755686717,,,,,,,,,,,,,24.0,0.010610783208435573,,,,,,,,,21.0,0.013197161615491743,,,,,,,,
2017年3月,474.0,277.0,515.0,756.0,570.0,495.0,241.0,1182.0,1401.0,6.0,42.0,670.0,983.0,61.0,225.0,345.0,147.0,127.0,725.0,7.0,26.0,344.0,108.0,68.0,20.0,263.0,335.0,417.0,410.0,1570.0,199.0,191.0,1316.0,80.0,205.0,2439.0,,,,,,,177.0,,,,,232.0,,,,,13.0,0.026837277771486808,19.0,0.015683388064771826,11.0,0.029158645679990942,7.0,0.04280375948363719,10.0,0.032272675801155025,12.0,0.02802627109047673,21.0,0.013645113803646245,5.0,0.06692333824028988,3.0,0.0793228399954705,39.0,0.0003397123768542634,34.0,0.0023779866379798438,9.0,0.03793454874872608,6.0,0.055656211074623485,33.0,0.0034537424980183445,23.0,0.012739214132034877,16.0,0.019533461669120147,28.0,0.008322953232929453,29.0,0.007190578643415242,8.0,0.04104857886989016,38.0,0.00039633110632997394,35.0,0.0014720869663684747,17.0,0.019476842939644433,30.0,0.006114822783376741,32.0,0.003850073604348318,36.0,0.0011323745895142113,20.0,0.014890725852111878,18.0,0.01896727437436304,14.0,0.023610010191371305,15.0,0.023213679085041333,2.0,0.08889140527686559,25.0,0.011267127165666403,26.0,0.010814177329860718,4.0,0.0745102479900351,31.0,0.004529498358056845,24.0,0.011606839542520666,1.0,0.13809308119125807,,,,,,,,,,,,,27.0,0.01002151511720077,,,,,,,,,22.0,0.01313554523836485,,,,,,,,
2017年4月,378.0,252.0,541.0,701.0,545.0,481.0,212.0,855.0,1524.0,6.0,42.0,583.0,849.0,48.0,272.0,161.0,130.0,87.0,335.0,6.0,27.0,314.0,90.0,61.0,19.0,227.0,260.0,354.0,379.0,1227.0,134.0,146.0,1059.0,80.0,122.0,2105.0,,,,,,,134.0,,,,,231.0,,,,,13.0,0.025216811207471646,19.0,0.016811207471647764,10.0,0.03609072715143429,7.0,0.04676450967311541,9.0,0.03635757171447632,11.0,0.03208805870580387,22.0,0.014142761841227485,5.0,0.05703802535023349,2.0,0.10166777851901268,38.5,0.00040026684456304204,34.0,0.002801867911941294,8.0,0.038892595063375585,6.0,0.056637758505670446,33.0,0.0032021347565043363,17.0,0.018145430286857906,23.0,0.010740493662441628,27.0,0.00867244829886591,30.0,0.00580386924616411,15.0,0.022348232154769845,38.5,0.00040026684456304204,35.0,0.0018012008005336892,16.0,0.0209472981987992,29.0,0.00600400266844563,32.0,0.004069379586390928,36.0,0.001267511674449633,21.0,0.01514342895263509,18.0,0.01734489659773182,14.0,0.02361574382921948,12.0,0.025283522348232154,3.0,0.08185456971314209,25.5,0.008939292861907939,24.0,0.009739826551034022,4.0,0.07064709806537692,31.0,0.00533689126084056,28.0,0.008138759172781855,1.0,0.14042695130086724,,,,,,,,,,,,,25.5,0.008939292861907939,,,,,,,,,20.0,0.015410273515677118,,,,,,,,
2017年5月,461.0,262.0,531.0,784.0,524.0,312.0,228.0,1015.0,1325.0,6.0,31.0,559.0,933.0,39.0,305.0,387.0,138.0,145.0,455.0,7.0,34.0,328.0,96.0,66.0,26.0,254.0,252.0,339.0,357.0,1308.0,167.0,145.0,1068.0,80.0,106.0,2559.0,,,,,,,156.0,,,,,230.0,,,,,11.0,0.028760371826065258,19.0,0.016345374009607585,9.0,0.03312745648512072,7.0,0.04891134818142118,10.0,0.03269074801921517,17.0,0.019464720194647202,23.0,0.014224218603780647,5.0,0.06332272755630419,2.0,0.08266267390354981,39.0,0.0003743215422047539,35.0,0.0019339946347245618,8.0,0.034874290348742905,6.0,0.05820699981283923,33.0,0.0024330900243309003,18.0,0.019028011728741655,13.0,0.024143739472206625,28.0,0.00860939547070934,26.5,0.009046103936614886,12.0,0.028386050283860504,38.0,0.0004367084659055462,34.0,0.0021211554058269385,16.0,0.02046291097385988,30.0,0.0059891446752760626,32.0,0.004117536964252292,36.0,0.0016220600162206002,20.0,0.015846278620001247,21.0,0.015721504772599662,15.0,0.021149167134568596,14.0,0.022272131761182857,3.0,0.08160209620063634,24.0,0.010418616258032316,26.5,0.009046103936614886,4.0,0.06662923451244619,31.0,0.004990953896063385,29.0,0.006613013912283985,1.0,0.15964813775032752,,,,,,,,,,,,,25.0,0.009732360097323601,,,,,,,,,22.0,0.014348992451182232,,,,,,,,
2017年6月,463.0,332.0,597.0,787.0,614.0,491.0,292.0,1216.0,1406.0,6.0,33.0,654.0,1021.0,67.0,300.0,463.0,147.0,188.0,439.0,6.0,27.0,391.0,113.0,64.0,11.0,254.0,289.0,383.0,404.0,1618.0,144.0,170.0,1227.0,83.0,216.0,2568.0,,,,,,,147.0,,,,,247.0,,,,,12.5,0.025879656801095552,18.0,0.018557334898409772,10.0,0.033369665464911547,7.0,0.0439898270031581,9.0,0.03431989044464939,11.0,0.027444733238310835,20.0,0.016321511416673654,5.0,0.06796903384477795,3.0,0.07858919538302452,38.5,0.00033537352226041756,34.0,0.0018445543724322966,8.0,0.036555713926385514,6.0,0.057069394371314384,32.0,0.003745004331907996,19.0,0.016768676113020877,12.5,0.025879656801095552,27.5,0.008216651295380229,25.0,0.010508370364159749,14.0,0.024538162712053883,38.5,0.00033537352226041756,35.0,0.001509180850171879,16.0,0.021855174533970543,30.0,0.00631620133590453,33.0,0.003577317570777787,37.0,0.0006148514574774322,22.0,0.014197479109024342,21.0,0.016153824655543447,17.0,0.02140800983762332,15.0,0.02258181716553478,2.0,0.09043905983622592,29.0,0.008048964534250021,26.0,0.009502249797378497,4.0,0.06858388530225538,31.0,0.004639333724602443,24.0,0.012073446801375032,1.0,0.1435398675274587,,,,,,,,,,,,,27.5,0.008216651295380229,,,,,,,,,23.0,0.013806209999720521,,,,,,,,
2017年7月,556.0,391.0,675.0,949.0,711.0,508.0,236.0,1138.0,1421.0,6.0,37.0,762.0,932.0,40.0,414.0,417.0,142.0,142.0,367.0,9.0,22.0,312.0,121.0,70.0,20.0,260.0,268.0,337.0,385.0,1281.0,175.0,187.0,1157.0,90.0,129.0,2429.0,,,,,,,151.0,,,,,233.0,,,,,11.0,0.03178777657080784,15.0,0.02235435366760048,10.0,0.03859127551312103,6.0,0.0542564747584472,9.0,0.040649476873820825,12.0,0.029043508089874794,22.0,0.013492653364587503,5.0,0.06506203190212109,2.0,0.0812417814876222,39.0,0.00034303356011663143,34.0,0.002115373620719227,8.0,0.04356526213481219,7.0,0.053284546338116745,33.0,0.002286890400777543,14.0,0.023669315648047567,13.0,0.023840832428105883,27.5,0.008118460922760277,27.5,0.008118460922760277,17.0,0.020982219427133953,38.0,0.0005145503401749471,35.0,0.0012577897204276486,19.0,0.017837745126064834,30.0,0.006917843462352067,32.0,0.0040020582013607,36.0,0.0011434452003887714,21.0,0.014864787605054029,20.0,0.015322165685209537,18.0,0.019267051626550798,16.0,0.02201132010748385,3.0,0.0732376650849008,25.0,0.010005145503401749,24.0,0.010691212623635012,4.0,0.06614830484249043,31.0,0.005145503401749471,29.0,0.007375221542507576,1.0,0.13887141958721627,,,,,,,,,,,,,26.0,0.008633011262935223,,,,,,,,,23.0,0.013321136584529186,,,,,,,,
2017年8月,565.0,311.0,613.0,767.0,598.0,484.0,238.0,1209.0,1776.0,6.0,41.0,700.0,950.0,52.0,279.0,394.0,146.0,102.0,453.0,8.0,25.0,352.0,104.0,66.0,22.0,246.0,394.0,392.0,411.0,1584.0,165.0,195.0,1152.0,90.0,98.0,2713.0,,,,,,,151.0,,,,,244.0,,,,,11.0,0.031203401999226818,19.0,0.017175677914618655,9.0,0.033854310487656705,7.0,0.0423593085547026,10.0,0.03302590158502237,12.0,0.02672999392500138,23.0,0.013144087921798199,4.0,0.06676975755232784,2.0,0.0980836140719059,39.0,0.0003313635610537361,34.0,0.00226431766720053,8.0,0.03865908212293588,6.0,0.05246589716684155,33.0,0.00287181752913238,20.0,0.01540840558899873,15.5,0.02175954050919534,27.0,0.008063179985640913,29.0,0.005633180537913514,13.0,0.025017948859557076,38.0,0.0004418180814049815,35.0,0.0013806815043905672,18.0,0.019439995581819185,28.0,0.00574363505826476,32.0,0.0036449991715910976,36.0,0.001214999723863699,21.0,0.01358590600320318,15.5,0.02175954050919534,17.0,0.021649085988844092,14.0,0.022698403932180925,3.0,0.08747998011818633,25.0,0.009112497928977743,24.0,0.010769315734246424,5.0,0.06362180372231734,31.0,0.004970453415806042,30.0,0.005412271497211023,1.0,0.14983155685646435,,,,,,,,,,,,,26.0,0.008339316286519027,,,,,,,,,22.0,0.013475451482851935,,,,,,,,
2017年9月,402.0,291.0,599.0,817.0,607.0,451.0,238.0,992.0,1731.0,6.0,43.0,650.0,936.0,50.0,283.0,470.0,162.0,150.0,405.0,7.0,30.0,361.0,111.0,65.0,25.0,276.0,339.0,397.0,426.0,1584.0,186.0,177.0,1168.0,86.0,157.0,2747.0,,,,,,,164.0,,,,,260.0,,,,,15.0,0.022503358710255262,19.0,0.0162897447380206,10.0,0.033531124048365425,7.0,0.045734437975817284,9.0,0.03397895208240036,12.0,0.025246305418719212,23.0,0.013322884012539185,5.0,0.05553067622033139,2.0,0.09689879086430811,39.0,0.0003358710255261979,34.0,0.0024070756829377518,8.0,0.03638602776533811,6.0,0.052395879982086876,33.0,0.0027989252127183163,20.0,0.01584191670398567,11.0,0.026309896999552173,27.0,0.009068517689207344,29.0,0.008396775638154948,14.0,0.022671294223018362,38.0,0.00039184952978056425,35.0,0.0016793551276309898,17.0,0.020208240035826244,30.0,0.0062136139722346615,32.0,0.003638602776533811,36.0,0.0013994626063591582,21.0,0.015450067174205105,18.0,0.018976712942230183,16.0,0.02222346618898343,13.0,0.023846842812360054,3.0,0.08866995073891626,24.0,0.010412001791312136,25.0,0.009908195253022839,4.0,0.06538289296909987,31.0,0.0048141513658755035,28.0,0.008788625167935512,1.0,0.15377295118674428,,,,,,,,,,,,,26.0,0.009180474697716077,,,,,,,,,22.0,0.014554411106135244,,,,,,,,
2017年10月,425.0,276.0,532.0,687.0,620.0,433.0,216.0,1015.0,1371.0,6.0,44.0,653.0,911.0,23.0,248.0,397.0,149.0,104.0,400.0,7.0,24.0,356.0,90.0,71.0,26.0,233.0,301.0,462.0,375.0,1274.0,193.0,159.0,1164.0,89.0,122.0,2601.0,,,,,,,145.0,,,,,219.0,,,,,13.0,0.02586101983692345,19.0,0.016794450529390288,10.0,0.03237191188998418,7.0,0.04180357794815626,9.0,0.03772666423268833,12.0,0.02634781550444201,23.0,0.013143483023001095,5.0,0.06176220031641719,2.0,0.08342460752099307,39.0,0.0003650967506389193,33.0,0.002677376171352075,8.0,0.03973469636120239,6.0,0.055433856638675914,36.0,0.0013995375441158574,20.0,0.015090665693075331,15.0,0.024157235000608495,26.0,0.009066569307533162,29.0,0.006328343677741268,14.0,0.024339783375927956,38.0,0.0004259462090787392,35.0,0.0014603870025556773,17.0,0.02166240720457588,30.0,0.00547645125958379,32.0,0.004320311549227212,34.0,0.001582085919435317,21.0,0.014177923816478033,18.0,0.018315686990385785,11.0,0.028112449799196786,16.0,0.022818546914932458,3.0,0.07752221005233054,24.0,0.011743945478885237,25.0,0.009675063891931361,4.0,0.07082876962395035,31.0,0.00541560180114397,28.0,0.007423633929658026,1.0,0.15826944140197152,,,,,,,,,,,,,27.0,0.008823171473773884,,,,,,,,,22.0,0.013326031398320556,,,,,,,,
